Invoice_ID,Invoice_Date,City,Category,Brand,Units,Revenue,Cost,Margin,Stock_On_Hand,Reorder_Level
INV001,2024-01-05,Mumbai,Beverages,Brand A,20,2000,1400,600,120,50
INV002,2024-01-12,Delhi,Snacks,Brand B,15,1800,1200,600,80,40
INV003,2024-02-03,Mumbai,Beverages,Brand C,30,3600,2500,1100,45,50
INV004,2024-02-18,Pune,Personal Care,Brand A,12,2400,1600,800,90,40
INV005,2024-03-02,Delhi,Beverages,Brand C,25,3000,2050,950,30,50
INV006,2024-03-14,Bengaluru,Snacks,Brand B,40,4800,3200,1600,150,60
INV007,2024-04-06,Pune,Beverages,Brand A,35,4200,2800,1400,70,50
INV008,2024-04-20,Mumbai,Personal Care,Brand C,18,3600,2400,1200,55,40
INV009,2024-05-11,Delhi,Snacks,Brand A,28,3360,2240,1120,25,50
INV010,2024-05-26,Bengaluru,Beverages,Brand C,45,5400,3600,1800,110,60
INV011,2024-06-09,Pune,Snacks,Brand B,22,2640,1760,880,95,40
INV012,2024-06-21,Mumbai,Beverages,Brand A,50,6000,3900,2100,35,60
